Chr	Start	End																						
chr4	10972825	10973027																						
chr2	24179951	24180153																						
chr18	46553751	46553953																						
chr2	118300940	118301142																						
chr14	17899756	17899958																						
chr17	43310237	43310439																						
chr2	52438164	52438366																						
chr11	104058677	104058879																						
chr15	58999652	58999854																						
chr19	11996114	11996316																						
chr12	79357812	79358014																						
chr9	95552443	95552645																						
chr12	70825547	70825749																						
chr14	39265278	39265480																						
chr1	100385193	100385395																						
chr14	54431645	54431847																						
chr15	82708083	82708285																						
chr8	117676563	117676765																						
chrX	103546855	103547057																						
chr3	131488573	131488775																						
chr15	97229784	97229986																						
chr1	36255220	36255422																						
chr3	65579559	65579761																						
chr6	143169257	143169459																						
chr18	54250758	54250960																						
chr15	97170142	97170344																						
chr15	6221293	6221495																						
chr13	69640585	69640787																						
chr15	12206598	12206800																						
chr14	57375292	57375494																						
chr12	25310380	25310582																						
chr14	64637520	64637722																						
chr15	84196486	84196688																						
chr12	98951362	98951564																						
chr2	15147079	15147281																						
chr9	107307942	107308144																						
chr3	85271596	85271798																						
chr5	124003055	124003257																						
chr13	107371645	107371847																						
chr7	112514723	112514925																						
chr2	134542118	134542320																						
chr12	75668364	75668566																						
chr4	155120585	155120787																						
chr9	121566586	121566788																						
chr1	182412829	182413031																						
chr10	94134969	94135171																						
chr10	82220407	82220609																						
chr5	96126951	96127153																						
chr7	112855520	112855722																						
chr18	64381411	64381613																						
chr4	84108681	84108883																						
chr13	109593405	109593607																						
chr3	95666518	95666720																						
chr16	23337371	23337573																						
chr2	173170236	173170438																						
chr10	108705733	108705935																						
chr9	86707484	86707686																						
chr9	103248740	103248942																						
chr18	7895127	7895329																						
chr14	35685290	35685492																						
chr10	87704237	87704439																						
chr11	86871928	86872130																						
chr4	72123010	72123212																						
chr10	87885789	87885991																						
chr11	95460971	95461173																						
chr6	71190586	71190788																						
chr5	66098324	66098526																						
chr19	55552445	55552647																						
chr12	57317250	57317452																						
chr2	126537827	126538029																						
chr5	126532139	126532341																						
chr2	131330693	131330895																						
chr1	164152942	164153144																						
chr8	40876612	40876814																						
chr3	144446262	144446464																						
chr5	115521601	115521803																						
chr19	6951490	6951692																						
chr12	55478992	55479194																						
chr12	113141046	113141248																						
chr2	155472577	155472779																						
chr1	65337845	65338047																						
chr13	91762170	91762372																						
chr17	31609901	31610103																						
chr4	155138026	155138228																						
chr2	5610313	5610515																						
chr4	140422211	140422413																						
chr1	39105910	39106112																						
chr18	75666236	75666438																						
chr9	66184001	66184203																						
chr17	75506682	75506884																						
chr16	35617818	35618020																						
chr11	100330955	100331157																						
chr4	53146606	53146808																						
chr5	66154632	66154834																						
chr15	103089935	103090137																						
chr1	179560651	179560853																						
chr7	81379443	81379645																						
chr10	95582906	95583108																						
chr18	74935085	74935287																						
chr16	66005504	66005706																						
chr16	23056321	23056523																						
chr4	45012155	45012357																						
chr2	26503972	26504174																						
chr15	82643867	82644069																						
chr14	11742719	11742921																						
chrX	12287058	12287260																						
chr13	40859923	40860125																						
chr4	102542285	102542487																						
chr6	101367835	101368037																						
chr5	99240575	99240777																						
chr3	84619842	84620044																						
chr17	64604249	64604451																						
chr4	126206267	126206469																						
chr3	98081518	98081720																						
chr6	58968661	58968863																						
chr11	106580506	106580708																						
chr16	91795142	91795344																						
chr7	19865289	19865491																						
chr13	51873251	51873453																						
chr12	54438864	54439066																						
chr4	83519316	83519518																						
chr18	3464975	3465177																						
chr8	70561922	70562124																						
chr3	30101288	30101490																						
chr6	129232866	129233068																						
chr13	36699964	36700166																						
chr2	152298941	152299143																						
chrX	164140319	164140521																						
chr15	101925077	101925279																						
chr12	79641368	79641570																						
chr13	64180912	64181114																						
chr12	40499994	40500196																						
chr8	11140594	11140796																						
chr4	139387121	139387323																						
chr6	116126640	116126842																						
chr11	62931222	62931424																						
chr15	83524058	83524260																						
