#name (cmd = mergePeaks -d given pCREB.fed.mergepeaks.txt pCREB.fast.mergepeaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	pCREB.fed.mergepeaks.txt	pCREB.fast.mergepeaks.txt
Merged-chr14-70341473-1	chr14	70341328	70341618	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-70341473-1
Merged-chr2-151723496-1	chr2	151723351	151723641	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-151723496-1
Merged-chr13-92354992-1	chr13	92354847	92355137	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-92354992-1
Merged-chr5-8885405-1	chr5	8885260	8885550	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-8885405-1
Merged-chr6-8259306-1	chr6	8259161	8259451	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-8259306-1
Merged-chr18-10634593-1	chr18	10634448	10634738	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr18-10634593-1
Merged-chr8-61201014-1	chr8	61200869	61201159	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-61201014-1
Merged-chr8-22411325-1	chr8	22411191	22411459	+	10.000000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-22411325-1
Merged-chr5-24861407-1	chr5	24861262	24861552	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-24861407-1
Merged-chr4-43419618-1	chr4	43419473	43419763	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-43419618-1
Merged-chr11-96010724-1	chr11	96010579	96010869	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-96010724-1
Merged-chr7-98361530-1	chr7	98361385	98361675	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-98361530-1
Merged-chr6-71271354-1	chr6	71271209	71271499	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-71271354-1
Merged-chr3-144393340-1	chr3	144393206	144393474	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-144393340-1
Merged-chr5-21152279-1	chr5	21152134	21152424	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-21152279-1
Merged-chr13-37826307-1	chr13	37826162	37826452	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-37826307-1
Merged-chr18-28703802-1	chr18	28703657	28703947	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr18-28703802-1
Merged-chr4-150686879-1	chr4	150686745	150687013	+	15.700000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-150686879-1
Merged-chr15-42613283-1	chr15	42613149	42613417	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-42613283-1
Merged-chr13-115017416-1	chr13	115017271	115017561	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-115017416-1
Merged-chr9-56727288-1	chr9	56727187	56727389	+	5.830000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-56727288-1
Merged-chr5-41632144-1	chr5	41632010	41632278	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-41632144-1
Merged-chr19-12601326-1	chr19	12601115	12601538	+	8.865000	pCREB.fast.mergepeaks.txt	1		Merged-chr19-12601321-2
Merged-chr10-125268683-1	chr10	125268538	125268828	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-125268683-1
Merged-chr4-40933872-1	chr4	40933771	40933973	+	6.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-40933872-1
Merged-chr5-25044240-1	chr5	25044106	25044374	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-25044240-1
Merged-chr3-19765522-1	chr3	19765377	19765667	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-19765522-1
Merged-chr15-10485917-1	chr15	10485783	10486051	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-10485917-1
Merged-chr10-69022147-1	chr10	69022002	69022292	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-69022147-1
Merged-chr17-3029946-1	chr17	3029845	3030047	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr17-3029946-1
Merged-chr3-138291796-1	chr3	138291662	138291930	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-138291796-1
