PeakID (cmd=annotatePeaks.pl Filtered_Peaks_all_pCREB.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)	tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)	tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)	tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)	tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)	tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)	tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)	tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)
Merged-chr9-35305339-2	chr9	35305185	35305492	+	221.616669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	24233	NR_040715	71133		NR_040715	ENSMUSG00000111746	4933422A05Rik	-	RIKEN cDNA 4933422A05 gene	ncRNA	529.87	432.93	522.88	474.29	550.52	438.83	459.96	375.17	371.69	453.43	484.59	395.63
Merged-chr2-98667067-2	chr2	98666844	98667284	+	201.316681	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	1199407	NM_001289744	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding	743.86	624.75	1488.52	1426.73	1644.75	1386.97	1376.42	1354.67	1200.34	1496.18	726.88	594.85
Merged-chr2-98662750-2	chr2	98662593	98662908	+	192.5	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	SYNREP_MM|Satellite|Satellite	1195093	NM_001289744	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding	418.29	327.02	604.04	585.69	663.13	562.14	571.50	561.17	530.77	609.12	385.66	318.29
Merged-chr14-19417855-2	chr14	19417695	19418020	+	162.683334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	87038	NR_164364	100042024		NM_001374231	ENSMUSG00000094590	Gm3629	-	predicted gene 3629	protein-coding	311.56	257.22	145.87	134.01	151.85	126.42	121.31	111.73	111.25	126.33	307.36	229.22
Merged-chrM-15501-2	chrM	15342	15677	+	121.050003	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	NA	Intergenic	NA	NA									395.11	512.00	82.70	107.54	51.19	32.64	220.20	255.83	91.49	115.41	207.91	229.22
Merged-chr2-98663887-2	chr2	98663687	98664037	+	118.400002	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	1196205	NM_001289744	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding	257.12	195.72	36.47	34.74	37.54	33.68	25.30	22.22	26.51	28.68	225.36	179.53
Merged-chr13-46728022-2	chr13	46727863	46728180	+	117.883331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_175749)	promoter-TSS (NM_175749)	-172	NM_175749	218210		NM_175749	ENSMUSG00000021374	Nup153	B130015D15Rik	nucleoporin 153	protein-coding	3.77	5.86	161.28	221.15	164.93	159.58	350.14	312.96	164.79	402.90	2.65	7.50
Merged-chr14-19416200-1	chr14	19416009	19416391	+	116.76667	pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	88695	NR_164364	100042024		NM_001374231	ENSMUSG00000094590	Gm3629	-	predicted gene 3629	protein-coding	206.45	150.33	14.90	14.89	17.06	16.06	12.07	14.60	8.32	15.71	193.62	153.28
Merged-chr9-3025523-2	chr9	3025362	3025677	+	109.949997	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	13224	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA	230.17	182.06	125.33	120.23	124.55	111.39	105.22	95.22	97.21	109.94	210.02	174.38
Merged-chr9-3000114-2	chr9	2999961	3000274	+	108.800003	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	38626	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA	222.08	178.15	24.14	16.55	24.46	27.98	18.40	6.35	19.23	18.44	216.90	166.88
