Chr	Start	End																						
chr10	118749880	118750090																						
chr16	23996456	23996666																						
chr2	11448786	11448996																						
chr11	7148158	7148368																						
chr11	70523338	70523548																						
chr3	57305307	57305517																						
chr7	126275668	126275878																						
chr7	106707854	106708064																						
chr12	42435461	42435671																						
chr11	112732476	112732686																						
chr17	49225341	49225551																						
chr11	43571025	43571235																						
chr1	191687705	191687915																						
chr5	145454522	145454732																						
chr19	60945914	60946124																						
chr13	67375643	67375853																						
chr1	140266956	140267166																						
chrX	140525751	140525961																						
chr11	101351126	101351336																						
chr15	101922420	101922630																						
chr14	41151359	41151569																						
chr4	95586266	95586476																						
chr6	108316558	108316768																						
chr11	88456888	88457098																						
chr6	145811265	145811475																						
chr18	20920850	20921060																						
chr1	179559388	179559598																						
chr7	4128959	4129169																						
chr11	49840742	49840952																						
chr13	24330300	24330510																						
chr15	7044355	7044565																						
chr2	167435727	167435937																						
chr3	29731577	29731787																						
chr15	11013397	11013607																						
chr13	93890137	93890347																						
chr4	101393269	101393479																						
chr10	89722328	89722538																						
chr4	101177710	101177920																						
chr3	116125890	116126100																						
chr19	40297619	40297829																						
chr19	10126972	10127182																						
chr4	11868657	11868867																						
chr4	59331051	59331261																						
chr12	16897784	16897994																						
chr4	117095180	117095390																						
chr12	84384795	84385005																						
chr2	72173055	72173265																						
chr3	149105288	149105498																						
chr1	3514922	3515132																						
chr1	131126216	131126426																						
chr5	142824128	142824338																						
chr17	57195390	57195600																						
chr4	141722075	141722285																						
chr6	52620178	52620388																						
chrX	7956704	7956914																						
chr9	43227809	43228019																						
chrX	103709874	103710084																						
chr14	17659577	17659787																						
chr1	74014632	74014842																						
chr9	66245838	66246048																						
chr18	78463038	78463248																						
chr1	136966815	136967025																						
chr8	83964060	83964270																						
chr9	79762093	79762303																						
chr2	75224466	75224676																						
chr16	29091180	29091390																						
chr1	180210955	180211165																						
chr17	8314048	8314258																						
chr15	82144306	82144516																						
chr18	38867686	38867896																						
chr4	11861211	11861421																						
chr15	61983480	61983690																						
chr11	119947522	119947732																						
chr17	49368924	49369134																						
chr6	51680305	51680515																						
chr3	144577500	144577710																						
chr3	14971802	14972012																						
chr4	71839545	71839755																						
chr18	46721992	46722202																						
chr13	46237745	46237955																						
chr4	95141315	95141525																						
chr5	90884982	90885192																						
chr13	60708175	60708385																						
chr11	100317973	100318183																						
chr13	28860733	28860943																						
chr15	75393164	75393374																						
chr12	21142878	21143088																						
chr16	45159916	45160126																						
chr9	53607302	53607512																						
chr3	83025892	83026102																						
chr5	108270371	108270581																						
chr5	63788369	63788579																						
chr8	86788002	86788212																						
chr10	78328164	78328374																						
chr6	11930986	11931196																						
chr19	56873865	56874075																						
chr5	145643009	145643219																						
chr17	56211221	56211431																						
chr11	86872914	86873124																						
chr11	121326808	121327018																						
chr18	84848887	84849097																						
chr11	79753231	79753441																						
chr14	25533998	25534208																						
chr4	95588960	95589170																						
chr8	114094641	114094851																						
chr13	64179381	64179591																						
chr7	48930494	48930704																						
chr3	10315724	10315934																						
chr10	18409250	18409460																						
chr13	32969727	32969937																						
chr19	37264022	37264232																						
chr3	97965101	97965311																						
chr9	20443503	20443713																						
chr13	95855619	95855829																						
chr17	75450552	75450762																						
chr10	28408935	28409145																						
chr15	62212651	62212861																						
chr1	127776366	127776576																						
chr2	69386187	69386397																						
chr3	93597148	93597358																						
chr13	91750051	91750261																						
chr10	94098205	94098415																						
chr3	10127583	10127793																						
chr4	106256322	106256532																						
chr3	138243013	138243223																						
chr4	117253757	117253967																						
chr12	104858696	104858906																						
chrX	52144999	52145209																						
chr18	64349175	64349385																						
chr14	25745422	25745632																						
chr8	44962966	44963176																						
chr1	165469134	165469344																						
chr6	146630995	146631205																						
chr1	84399758	84399968																						
chr2	160332677	160332887																						
chr16	6366686	6366896																						
chr9	106130329	106130539																						
chr13	119708026	119708236																						
chr2	72751521	72751731																						
chr6	54726388	54726598																						
chr5	99283780	99283990																						
chr7	125741225	125741435																						
chr17	79658468	79658678																						
chr15	33305598	33305808																						
chr16	47204897	47205107																						
chr8	33904011	33904221																						
chr5	122895519	122895729																						
chr14	30949984	30950194																						
chr7	128557004	128557214																						
chr15	86116324	86116534																						
chr9	63541638	63541848																						
