Chr	Start	End																						
chr4	12063540	12063756																						
chr10	44763198	44763414																						
chr7	45713915	45714131																						
chr19	57270783	57270999																						
chr4	57284219	57284435																						
chr14	118711025	118711241																						
chr9	86648079	86648295																						
chr5	86735910	86736126																						
chr14	63662396	63662612																						
chr1	183385612	183385828																						
chr3	95213686	95213902																						
chr16	11011183	11011399																						
chr1	164474438	164474654																						
chr7	140067420	140067636																						
chr6	136428506	136428722																						
chr17	24365370	24365586																						
chr16	81353800	81354016																						
chr6	71505770	71505986																						
chr16	95682537	95682753																						
chr6	72401857	72402073																						
chr6	128526695	128526911																						
chr8	7060393	7060609																						
chr2	78049383	78049599																						
chr14	72564034	72564250																						
chr10	30752657	30752873																						
chr19	11454913	11455129																						
chr1	151124090	151124306																						
chr1	184867827	184868043																						
chr16	8603960	8604176																						
chr14	74730911	74731127																						
chr15	97044049	97044265																						
chr10	69107230	69107446																						
chr3	98246023	98246239																						
chr13	18698820	18699036																						
chr2	5635683	5635899																						
chr14	54579104	54579320																						
chr13	93190243	93190459																						
chr2	65325785	65326001																						
chr3	104441418	104441634																						
chr16	91678572	91678788																						
chr3	69282545	69282761																						
chr3	7629029	7629245																						
chr2	159730353	159730569																						
chr19	42535879	42536095																						
chr19	30170382	30170598																						
chr19	38211092	38211308																						
chr1	182562923	182563139																						
chr1	23254284	23254500																						
chr4	86686055	86686271																						
chr11	108857881	108858097																						
chr2	132923688	132923904																						
chr6	128532733	128532949																						
chr1	74105718	74105934																						
chr11	4035613	4035829																						
chr1	52495661	52495877																						
chr7	26783290	26783506																						
chr1	131922196	131922412																						
chr1	178344119	178344335																						
chr2	167856945	167857161																						
chr16	94640844	94641060																						
chr6	90544648	90544864																						
chr15	81118327	81118543																						
chr11	48813815	48814031																						
chr17	40823854	40824070																						
chr1	43935699	43935915																						
chr4	35533723	35533939																						
chr19	14502251	14502467																						
chr14	76817417	76817633																						
chr11	64411407	64411623																						
chr10	68529399	68529615																						
chr8	48539936	48540152																						
chr6	54726390	54726606																						
chr5	123196883	123197099																						
chr16	93745025	93745241																						
chr12	113106429	113106645																						
chr10	108147061	108147277																						
chr17	80491822	80492038																						
chr9	62120773	62120989																						
chr6	17071179	17071395																						
chr16	43536014	43536230																						
chr1	58610274	58610490																						
chr3	129297065	129297281																						
chr18	38349979	38350195																						
