PeakID (cmd=annotatePeaks.pl pCREB.fed.BCL6.mergepeaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr10-95416902-1	chr10	95416809	95416995	+	1113.599976	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_001168655)	promoter-TSS (NM_001168655)	-45	NM_007706	216233		NM_007706	ENSMUSG00000020027	Socs2	8030460M17|CIS2|Cish2|D130043N08Rik|JAB|SOCS-2|SSI-2|hg	suppressor of cytokine signaling 2	protein-coding
Merged-chr6-37633627-1	chr6	37633534	37633720	+	626.599976	GetdiffpeaksBCL6WT.txt	Intergenic	L1_Rod|LINE|L1	103454	NM_145364	208665		NM_145364	ENSMUSG00000038641	Akr1d1	-	aldo-keto reductase family 1, member D1	protein-coding
Merged-chr15-61101001-1	chr15	61100908	61101094	+	504.600006	GetdiffpeaksBCL6WT.txt	Intergenic	Lx8|LINE|L1	-179731	NM_001081067	117586		NM_001081067	ENSMUSG00000022347	A1bg	C44	alpha-1-B glycoprotein	protein-coding
Merged-chr6-37751871-1	chr6	37751778	37751964	+	429.500000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-118940	NM_001272064	21848		NM_145076	ENSMUSG00000029833	Trim24	A130082H20Rik|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
Merged-chr5-122019454-1	chr5	122019361	122019547	+	411.899994	GetdiffpeaksBCL6WT.txt	intron (NM_007804, intron 2 of 22)	intron (NM_007804, intron 2 of 22)	28371	NM_007804	13048		NM_007804	ENSMUSG00000042589	Cux2	1700051K22Rik|Cutl2|Cux-2	cut-like homeobox 2	protein-coding
Merged-chr18-54492250-1	chr18	54492157	54492343	+	407.200012	GetdiffpeaksBCL6WT.txt	intron (NR_166904, intron 2 of 3)	intron (NR_166904, intron 2 of 3)	4333	NR_166904	105246441		NR_166904		4933434P08Rik	-	RIKEN cDNA 4933434P08 gene	ncRNA
Merged-chr2-160246564-1	chr2	160246471	160246657	+	362.600006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	80930	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA
Merged-chr10-87335343-1	chr10	87335250	87335436	+	361.399994	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	104715	NR_165498	115487469		NR_165498		4930555G07Rik	-	RIKEN cDNA 4930555G07 gene	ncRNA
Merged-chr2-153597760-1	chr2	153597667	153597853	+	356.700012	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	35021	NM_133850	99311		NM_133850	ENSMUSG00000056941	Commd7	2310010I22Rik|mU3	COMM domain containing 7	protein-coding
Merged-chr3-142706768-1	chr3	142706675	142706861	+	337.899994	GetdiffpeaksBCL6WT.txt	exon (NM_001293560, exon 2 of 14)	exon (NM_001293560, exon 2 of 14)	5720	NM_001293560	229905		NM_173763	ENSMUSG00000040213	Kyat3	Ccbl2|KATIII|Kat3	kynurenine aminotransferase 3	protein-coding
Merged-chr3-144643425-1	chr3	144643332	144643518	+	335.600006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	72998	NM_053102	93684		NM_053102	ENSMUSG00000037072	Selenof	9430015P09Rik|Sep15	selenoprotein F	protein-coding
Merged-chr1-61143648-1	chr1	61143555	61143741	+	330.899994	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	165734	NM_017480	54167		NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding
Merged-chr1-156506104-1	chr1	156506011	156506197	+	329.700012	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-31776	NM_009230	20652		NM_009230	ENSMUSG00000026600	Soat1	8430426K15Rik|ACAT-1|Acact|ald|hid	sterol O-acyltransferase 1	protein-coding
Merged-chr1-50683081-1	chr1	50682988	50683174	+	325.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-244442	NM_019790	56363		NM_019790	ENSMUSG00000026109	Tmeff2	4832418D20Rik|7630402F16Rik|TR-2	transmembrane protein with EGF-like and two follistatin-like domains 2	protein-coding
Merged-chr11-58210512-1	chr11	58210419	58210605	+	316.799988	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-4465	NM_019440	54396		NM_019440	ENSMUSG00000069874	Irgm2	GTPI|Ifggd2|Iigp2	immunity-related GTPase family M member 2	protein-coding
Merged-chr8-11140731-1	chr8	11140638	11140824	+	309.799988	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-131802	NM_001081212	384783		NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
Merged-chr5-135690683-1	chr5	135690590	135690776	+	305.100006	GetdiffpeaksBCL6WT.txt	intron (NM_008898, intron 1 of 15)	intron (NM_008898, intron 1 of 15)	1538	NM_008898	18984		NM_008898	ENSMUSG00000005514	Por	4933424M13Rik|CPR|CYPOR|P450R	cytochrome p450 oxidoreductase	protein-coding
Merged-chr7-44497865-1	chr7	44497772	44497958	+	303.899994	GetdiffpeaksBCL6WT.txt	intron (NM_001368290, intron 2 of 3)	intron (NM_001368290, intron 2 of 3)	1270	NM_001368291	75538		NM_028169	ENSMUSG00000051113	Garin5a	0610007G24Rik|1700021N13Rik|1700021P22Rik|Fam71e1|GARI-L5|GARIL5	golgi associated RAB2 interactor 5A	protein-coding
Merged-chr10-87329737-1	chr10	87329644	87329830	+	302.700012	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	99109	NR_165498	115487469		NR_165498		4930555G07Rik	-	RIKEN cDNA 4930555G07 gene	ncRNA
Merged-chr18-10413818-1	chr18	10413725	10413911	+	301.600006	GetdiffpeaksBCL6WT.txt	intron (NM_001083628, intron 1 of 32)	intron (NM_001083628, intron 1 of 32)	88639	NM_001083628	381157		NM_001083628	ENSMUSG00000042942	Greb1l	mKIAA4095	growth regulation by estrogen in breast cancer-like	protein-coding
Merged-chr5-132448825-1	chr5	132448732	132448918	+	287.500000	GetdiffpeaksBCL6WT.txt	intron (NM_001363480, intron 1 of 19)	intron (NM_001363480, intron 1 of 19)	94395	NM_001363480	319974		NM_001363480	ENSMUSG00000029673	Auts2	2700063G02Rik|A730011F23Rik|D830032G16Rik	autism susceptibility candidate 2	protein-coding
Merged-chr1-179842795-1	chr1	179842702	179842888	+	285.100006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-38780	NM_026375	226747		NM_026375	ENSMUSG00000026491	Ahctf1	6230412P20Rik|Elys	AT hook containing transcription factor 1	protein-coding
Merged-chr1-179559492-1	chr1	179559399	179559585	+	278.100006	GetdiffpeaksBCL6WT.txt	intron (NM_146105, intron 1 of 10)	intron (NM_146105, intron 1 of 10)	12963	NM_146105	226744		NM_146105	ENSMUSG00000038949	Cnst	9630058J23Rik	consortin, connexin sorting protein	protein-coding
Merged-chr17-33829012-1	chr17	33828919	33829105	+	272.200012	GetdiffpeaksBCL6WT.txt	intron (NM_023202, intron 2 of 3)	intron (NM_023202, intron 2 of 3)	4367	NR_103514	66416		NM_023202	ENSMUSG00000041881	Ndufa7	14.5kDa|2400007M02Rik|CI-B14.5a	NADH:ubiquinone oxidoreductase subunit A7	protein-coding
Merged-chr4-59558464-1	chr4	59558371	59558557	+	272.200012	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-9100	NM_144904	230257		NM_144904	ENSMUSG00000028382	Ptbp3	5830471K22Rik|Rod1	polypyrimidine tract binding protein 3	protein-coding
Merged-chr3-148167727-1	chr3	148167634	148167820	+	271.100006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	786908	NM_001081298	99633		NM_153517	ENSMUSG00000028184	Adgrl2	CIRL-2|Gm619|Lec1|Lphh1|Lphn2|mKIAA0786	adhesion G protein-coupled receptor L2	protein-coding
Merged-chr10-119497854-1	chr10	119497761	119497947	+	267.500000	GetdiffpeaksBCL6WT.txt	intron (NM_133442, intron 1 of 21)	intron (NM_133442, intron 1 of 21)	43820	NM_001358809	74053		NM_028736	ENSMUSG00000034813	Grip1	4931400F03Rik|GRIP|eb	glutamate receptor interacting protein 1	protein-coding
Merged-chr5-99994326-1	chr5	99994233	99994419	+	261.700012	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-15388	NM_001077267	11991		NM_007516	ENSMUSG00000000568	Hnrnpd	Auf1|Hnrpd	heterogeneous nuclear ribonucleoprotein D	protein-coding
Merged-chr6-37829158-1	chr6	37829065	37829251	+	258.100006	GetdiffpeaksBCL6WT.txt	Intergenic	MER21B|LTR|ERVL	-41653	NM_001272064	21848		NM_145076	ENSMUSG00000029833	Trim24	A130082H20Rik|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
Merged-chr3-37758381-1	chr3	37758288	37758474	+	257.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-34021	NM_198657	381438		NM_198657	ENSMUSG00000058174	Gm5148	EG381438	predicted gene 5148	protein-coding
Merged-chr9-57831574-1	chr9	57831481	57831667	+	255.800003	GetdiffpeaksBCL6WT.txt	intron (NM_001379353, intron 2 of 8)	intron (NM_001379353, intron 2 of 8)	2660	NM_019689	56380		NM_019689	ENSMUSG00000004661	Arid3b	Bdp|Dri2	AT-rich interaction domain 3B	protein-coding
Merged-chr17-36484085-1	chr17	36483992	36484178	+	255.800003	GetdiffpeaksBCL6WT.txt	Intergenic	MYSERV16_I-int|LTR|ERVK	-21756	NM_177634	224753		NM_177634	ENSMUSG00000048231	H2-M10.4	15H	histocompatibility 2, M region locus 10.4	protein-coding
Merged-chr13-107863426-1	chr13	107863333	107863519	+	254.600006	GetdiffpeaksBCL6WT.txt	intron (NM_145456, intron 5 of 17)	Tigger15a|DNA|TcMar-Tigger	26638	NM_145456	67263		NM_145456	ENSMUSG00000032846	Zswim6	2900036G02Rik|mKIAA1577	zinc finger SWIM-type containing 6	protein-coding
