PeakID (cmd=annotatePeaks.pl Filtered_Peaks_Union.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	"tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)"	"tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)"	"tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)"	"tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)"	"tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)"	"tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)"	"tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)"	"tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)"
Merged-chr5-122019454-1	chr5	122019361	122019547	+	411.899994	GetdiffpeaksBCL6WT.txt	"intron (NM_007804, intron 2 of 22)"	"intron (NM_007804, intron 2 of 22)"	28371	NM_007804	13048		NM_007804	ENSMUSG00000042589	Cux2	1700051K22Rik|Cutl2|Cux-2	cut-like homeobox 2	protein-coding	2.16	2.93	3.6	6.07	3.98	3.63	9.77	5.71	3.64	6.15	4.23	2.34
Merged-chr2-160246564-1	chr2	160246471	160246657	+	362.600006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	80930	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	0.54	2.93	1.03	0	2.27	3.63	0.57	1.27	0.52	2.05	1.06	2.34
Merged-chr4-11868762-1	chr4	11868669	11868855	+	147.800003	GetdiffpeaksBCL6WT.txt	Intergenic	MER89|LTR|ERV1	96951	NM_001098231	381511		NM_001033453	ENSMUSG00000049225	Pdp1	Gm1024|PDPC 1|Ppm2c	pyruvate dehydrogenase phosphatase catalytic subunit 1	protein-coding	2.7	1.95	4.11	3.86	1.71	4.66	6.32	3.17	2.08	3.41	3.17	0
Merged-chr5-122020408-1	chr5	122020315	122020501	+	144.300003	GetdiffpeaksBCL6WT.txt	"intron (NM_007804, intron 2 of 22)"	"intron (NM_007804, intron 2 of 22)"	27417	NM_007804	13048		NM_007804	ENSMUSG00000042589	Cux2	1700051K22Rik|Cutl2|Cux-2	cut-like homeobox 2	protein-coding	2.16	2.93	1.54	1.1	1.14	1.04	4.6	2.54	1.04	0.68	0	2.34
Merged-chr5-122026399-1	chr5	122026306	122026492	+	116.199997	GetdiffpeaksBCL6WT.txt	"intron (NM_007804, intron 2 of 22)"	"intron (NM_007804, intron 2 of 22)"	21426	NM_007804	13048		NM_007804	ENSMUSG00000042589	Cux2	1700051K22Rik|Cutl2|Cux-2	cut-like homeobox 2	protein-coding	1.62	0.98	2.05	0.55	1.14	2.07	6.32	0.63	0.52	2.05	0.53	0.47
Merged-chr4-6239264-1	chr4	6239171	6239357	+	103.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	36368	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	"cytochrome P450, family 7, subfamily a, polypeptide 1"	protein-coding	0.54	0.98	1.54	2.76	1.71	1.04	2.3	1.9	3.12	4.1	0.53	0.47
Merged-chr1-167387541-1	chr1	167387448	167387634	+	81	GetdiffpeaksBCL6WT.txt	"intron (NM_025569, intron 1 of 5)"	"intron (NM_025569, intron 1 of 5)"	6300	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding	2.16	2.93	4.11	2.21	2.84	3.11	14.95	10.16	5.72	4.78	1.59	0.94
Merged-chr17-28760871-1	chr17	28760778	28760964	+	73.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-8446	NM_011950	26415		NM_011950	ENSMUSG00000004864	Mapk13	SAPK4|Serk4	mitogen-activated protein kinase 13	protein-coding	0.54	2.93	1.03	4.96	3.98	2.07	3.45	5.08	2.6	2.73	1.06	2.81
Merged-chr18-34866658-1	chr18	34866565	34866751	+	73.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	5451	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	0.54	2.44	0.51	1.1	0	1.04	0.57	0	0.52	1.37	1.59	0.47
Merged-chr19-54011119-1	chr19	54011026	54011212	+	72.800003	GetdiffpeaksBCL6WT.txt	"intron (NM_019658, intron 3 of 8)"	"intron (NM_019658, intron 3 of 8)"	-34140	NM_007417	11551		NM_007417	ENSMUSG00000033717	Adra2a	Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	"adrenergic receptor, alpha 2a"	protein-coding	1.62	2.44	0.51	0.55	1.71	1.04	2.87	3.81	1.56	5.46	0.53	2.81
